tag1,tag2,tag3,tag4,tag5,tag6,,
math,matlab,postgresql,image,algorithm,numpy,,image
parsing,datetime,svn,date,unicode,bash,,bash
vim,android-studio,gradle,android-layout,maven,ipad,,vim
ipad,xaml,cocoa-touch,datetime,uitableview,swing,,datetime
ajax,css3,google-chrome,jquery-ui,svn,twitter-bootstrap,,svn
ssl,wcf,apache,facebook,uitableview,http,,uitableview
spring,hibernate,spring-mvc,entity-framework,apache,symfony2,,apache
git,shell,svn,bash,css3,github,,css3
sql-server,oracle,mongodb,bash,postgresql,linq,,bash
cocoa-touch,gcc,c++11,haskell,templates,generics,,cocoa-touch
