tag1,tag2,tag3,tag4,tag5,tag6,,
algorithm,dictionary,wcf,collections,sorting,list,,wcf
git,database,haskell,angularjs,perl,scala,,database
lambda,scala,tomcat,maven, ,maven-2,,lambda
xaml,swing,uitableview,winforms,silverlight,wpf,,uitableview
jquery-ui,html5,google-chrome,email,ajax,angularjs,,email
svn,database,git,github,version-control,mercurial,,database
debugging,emacs,excel,html5,visual-studio-2010,vim,,debugging
asp.net-mvc-4,http,asp.net-mvc-3,razor,angularjs,xml,,xml
language-agnostic,hadoop,design,clojure,oop,testing,,testing
symfony2,ssl,security,apache,encryption,date,,date
google-maps-api-3,math,matlab,numpy,algorithm,matrix,,google-maps-api-3
templates,stl,pointers,c++11,database,gcc,,database
swift,xcode,ipad,cocoa-touch,core-data,algorithm,,algorithm
mongodb,heroku,ruby-on-rails-3,entity-framework,css3,rspec,,css3
lambda,rest,email,sockets,http,facebook,,lambda
oop,inheritance,clojure,haskell,github,scala,,github
android-studio,audio,video,cordova,android-intent,database,,database
maven,sql-server,database,sql,oracle,tsql,,maven
google-maps,opengl,google-maps-api-3,elasticsearch,google-app-engine,enums,,enums
opencv,clojure,svg,image-processing,pdf,image,,clojure
pandas,date,matplotlib,datetime,ggplot2,concurrency,,concurrency
cocoa-touch,listview,uitableview,date,android-fragments,android-layout,,date
android-layout,fonts,html5,css-selectors,twitter-bootstrap,css3,,fonts
cordova,generics,reflection,linq,lambda,enums,,cordova
msbuild,dll,visual-studio-2010,swift,batch-file,visual-studio-2012,,swift
exception,exception-handling,multithreading,assembly,concurrency,asynchronous,,assembly
utf-8,unicode,regex,perl,vim,string,,vim
memory,assembly,optimization,memory-management,garbage-collection,cordova,,cordova
jpa,sql,hibernate,wcf,spring-mvc,spring,,sql
powershell,asp.net-mvc-3,shell,perl,python-3.x,bash,,asp.net-mvc-3
